Freq [GHz],VSWR(1) ,VSWR(2) 
3,4.385628563,3.566100104
3.01,4.294117751,3.538248327
3.02,4.204788315,3.513772341
3.03,4.1175966,3.492453586
3.04,4.032501053,3.474070089
3.05,3.94946203,3.458391754
3.06,3.868441609,3.445175043
3.07,3.789403404,3.434156981
3.08,3.71231239,3.42504851
3.09,3.63713473,3.417527209
3.1,3.563837613,3.411229541
3.11,3.492389105,3.405742884
3.12,3.422758003,3.400597818
3.13,3.354913705,3.395261367
3.14,3.288826093,3.389132231
3.15,3.224465421,3.381539364
3.16,3.16180222,3.371745651
3.17,3.100807214,3.358958656
3.18,3.041451246,3.342350538
3.19,2.983705215,3.321088846
3.2,2.927540029,3.294379093
3.21,2.872926557,3.261518389
3.22,2.819835604,3.22195717
3.23,2.76823789,3.175363376
3.24,2.71810403,3.121680911
3.25,2.669404535,3.061172712
3.26,2.622109811,2.994439112
3.27,2.576190169,2.922404968
3.28,2.531615834,2.846273959
3.29,2.488356968,2.767454469
3.3,2.446383691,2.687466871
3.31,2.405666105,2.607845212
3.32,2.366174324,2.530046332
3.33,2.327878505,2.455376635
3.34,2.290748881,2.384942123
3.35,2.254755791,2.319622473
3.36,2.219869715,2.260066074
3.37,2.186061309,2.206700746
3.38,2.153301437,2.159754282
3.39,2.121561205,2.1192796
3.4,2.090811992,2.085180557
3.41,2.061025481,2.057235917
3.42,2.032173687,2.035120161
3.43,2.004228989,2.018420729
3.44,1.977164153,2.006651821
3.45,1.95095236,1.999265225
3.46,1.925567227,1.995658834
3.47,1.90098283,1.99518372
3.48,1.877173724,1.997150844
3.49,1.854114964,2.000838694
3.5,1.831782121,2.005503252
3.51,1.810151297,2.010391652
3.52,1.789199144,2.014760521
3.53,1.768902875,2.017899248
3.54,1.74924028,2.019157424
3.55,1.730189734,2.017974404
3.56,1.711730215,2.013907837
3.57,1.693841312,2.006657309
3.58,1.676503237,1.996079307
3.59,1.659696836,1.982190733
3.6,1.643403599,1.965159871
3.61,1.627605675,1.945285837
3.62,1.612285879,1.922969353
3.63,1.597427707,1.89867887
3.64,1.583015347,1.872916311
3.65,1.569033696,1.84618609
3.66,1.555468366,1.818969904
3.67,1.54230571,1.791708456
3.68,1.529532827,1.764790094
3.69,1.517137589,1.73854546
3.7,1.505108654,1.713246818
3.71,1.493435486,1.689110545
3.72,1.482108379,1.666301396
3.73,1.471118475,1.644937342
3.74,1.460457795,1.62509406
3.75,1.450119257,1.606808415
3.76,1.440096705,1.5900805
3.77,1.430384938,1.574874054
3.78,1.420979737,1.561115308
3.79,1.411877894,1.548690609
3.8,1.403077239,1.537443523
3.81,1.394576672,1.527172573
3.82,1.386376187,1.517631207
3.83,1.378476898,1.508531962
3.84,1.370881063,1.499556789
3.85,1.363592101,1.490374862
3.86,1.356614602,1.480667745
3.87,1.349954337,1.470159497
3.88,1.343618249,1.458646907
3.89,1.33761444,1.446023446
3.9,1.331952142,1.432290944
3.91,1.326641673,1.417555657
3.92,1.321694374,1.402009558
3.93,1.317122525,1.3859016
3.94,1.312939245,1.369505723
3.95,1.309158362,1.353092013
3.96,1.305794263,1.336905183
3.97,1.302861724,1.321151837
3.98,1.300375717,1.3059957
3.99,1.298351197,1.291558786
4,1.296802882,1.277926134
4.01,1.295745022,1.265151992
4.02,1.29519117,1.25326577
4.03,1.295153962,1.24227639
4.04,1.295644915,1.232173753
4.05,1.296674248,1.222925664
4.06,1.298250735,1.214467761
4.07,1.300381603,1.206682952
4.08,1.303072461,1.199366708
4.09,1.306327284,1.19217946
4.1,1.310148435,1.184606832
4.11,1.314536723,1.175993731
4.12,1.319491506,1.165764363
4.13,1.325010813,1.153855291
4.14,1.331091496,1.141055149
4.15,1.337729387,1.128763676
4.16,1.344919472,1.118258369
4.17,1.352656057,1.110173081
4.18,1.360932932,1.104528324
4.19,1.369743527,1.101035796
4.2,1.379081053,1.099355895
4.21,1.38893863,1.099220068
4.22,1.399309395,1.100459877
4.23,1.4101866,1.102996098
4.24,1.421563691,1.106817689
4.25,1.43343437,1.111961543
4.26,1.445792651,1.118494518
4.27,1.458632893,1.126495089
4.28,1.471949836,1.136029514
4.29,1.485738617,1.147113649
4.3,1.499994785,1.159643982
4.31,1.514714304,1.17326781
4.32,1.529893564,1.187173274
4.33,1.545529371,1.20019083
4.34,1.561618948,1.214484678
4.35,1.578159925,1.24263419
4.36,1.595150337,1.281347347
4.37,1.612588612,1.31586845
4.38,1.630473565,1.345568629
4.39,1.648804385,1.372119292
4.4,1.667580635,1.396097652
4.41,1.686802234,1.417589563
4.42,1.706469459,1.436620677
4.43,1.726582932,1.453306816
4.44,1.747143615,1.467873916
4.45,1.768152808,1.480627667
4.46,1.789612137,1.491912049
4.47,1.811523555,1.502074632
4.48,1.833889338,1.511444382
4.49,1.856712075,1.520321408
4.5,1.879994672,1.528975664
4.51,1.903740342,1.537651252
4.52,1.927952606,1.546573638
4.53,1.952635286,1.555957816
4.54,1.977792503,1.566016136
4.55,2.003428672,1.576964919
4.56,2.029548498,1.589029212
4.57,2.056156967,1.602445174
4.58,2.083259346,1.617459685
4.59,2.110861169,1.634326895
4.6,2.138968234,1.653301673
4.61,2.167586589,1.674630252
4.62,2.196722525,1.698538795
4.63,2.226382559,1.72522104
4.64,2.256573425,1.754826508
4.65,2.287302053,1.787450873
4.66,2.318575553,1.823129923
4.67,2.350401193,1.861838076
4.68,2.382786377,1.903491729
4.69,2.415738618,1.947957014
4.7,2.449265509,1.995060892
4.71,2.483374693,2.044604133
4.72,2.518073821,2.096374614
4.73,2.553370523,2.150159556
4.74,2.589272353,2.205755644
4.75,2.625786752,2.262976472
4.76,2.662920988,2.321657125
4.77,2.700682102,2.381656111
4.78,2.739076848,2.44285506
4.79,2.778111622,2.5051567
4.8,2.817792391,2.56848167
4.81,2.858124612,2.632764644
4.82,2.899113148,2.697950164
4.83,2.940762177,2.763988473
4.84,2.983075088,2.830831571
4.85,3.026054382,2.898429601
4.86,3.06970155,2.966727658
4.87,3.11401696,3.035663035
4.88,3.158999722,3.105162933
4.89,3.204647554,3.175142605
4.9,3.250956639,3.245503945
4.91,3.297921468,3.316134499
4.92,3.345534683,3.38690688
4.93,3.39378691,3.457678592
4.94,3.442666583,3.528292255
4.95,3.492159762,3.598576211
4.96,3.542249949,3.66834552
4.97,3.592917891,3.737403329
4.98,3.644141389,3.805542594
4.99,3.695895093,3.872548135
5,3.748150306,3.938198993
